id,cena_pln,log_cena_pln,metraz_m2,log_metraz_m2,cena_za_m2,liczba_pokoi,pietro,pietro_maks,parter,ostatnie_pietro,dzielnica,data_pobrania
ID4Cmcd,599000,13.303016877097589,53.46,3.978933710710773,11204.64,5,0.0,1.0,True,0.0,Dębniki,2026-08-05
ID4Bxi7,999000,13.81451005763069,46.1,3.8308129500026022,21670.28,2,0.0,3.0,True,0.0,Stare Miasto,2026-08-05
ID1bmLxg,705000,13.465953081794405,47.33,3.857144343918157,14895.42,2,0.0,,True,,Podgórze Duchackie,2026-08-05
ID1bCbdp,563892,13.242618022782064,41.16,3.717466910965849,13700.0,2,3.0,,False,,Bieżanów-Prokocim,2026-08-05
ID1bBkRK,530000,13.180632285528304,25.3,3.2308043957334744,20948.62,1,9.0,,False,,Krowodrza,2026-08-05
ID4BQty,630000,13.353475098367715,46.32,3.83557383326474,13601.04,3,0.0,4.0,True,0.0,Bieżanów-Prokocim,2026-08-05
ID1bpChi,599990,13.304668267392726,37.0,3.610917912644224,16215.95,2,5.0,,False,,Czyżyny,2026-08-05
ID4BYKp,870350,13.676650708580857,49.12,3.894266283838887,17718.85,3,0.0,4.0,True,0.0,Łagiewniki-Borek Fałęcki,2026-08-05
ID4unka,671600,13.417418204185523,46.0,3.828641396489095,14600.0,2,1.0,7.0,False,0.0,Prądnik Biały,2026-08-05
ID4BMCv,775000,13.560618308335483,51.0,3.9318256327243257,15196.08,2,0.0,4.0,True,0.0,Krowodrza,2026-08-05
ID1bihW7,579000,13.269057756555132,36.93,3.609024228864472,15678.31,2,2.0,,False,,Mistrzejowice,2026-08-05
ID4CmJS,1090000,13.901688254205329,83.0,4.418840607796598,13132.53,5,0.0,4.0,True,0.0,Podgórze Duchackie,2026-08-05
ID4CgIn,1290000,14.070152776337856,77.27,4.347305781945493,16694.71,4,2.0,4.0,False,0.0,Dębniki,2026-08-05
ID4Couu,725000,13.493926933836812,53.0,3.970291913552122,13679.25,3,3.0,4.0,False,0.0,Prądnik Czerwony,2026-08-05
ID4Cqxg,499000,13.120361374733656,30.0,3.4011973816621555,16633.33,1,3.0,10.0,False,0.0,nieznana,2026-08-05
ID4Crk9,839880,13.641014303471586,51.0,3.9318256327243257,16468.24,3,6.0,7.0,False,0.0,Czyżyny,2026-08-05
ID1aEF51,499000,13.120361374733656,34.8,3.5496173867804286,14339.08,1,5.0,,False,,Podgórze Duchackie,2026-08-05
ID4Cpzh,939000,13.7525707581904,60.36,4.100326633899648,15556.66,3,2.0,3.0,False,0.0,Prądnik Biały,2026-08-05
ID4ui7w,637580,13.36543503833756,44.9,3.8044377947482086,14200.0,2,0.0,2.0,True,0.0,Bieżanów-Prokocim,2026-08-05
ID4ClRn,1150000,13.955272500339431,66.68,4.199905057882593,17246.55,4,1.0,8.0,False,0.0,Mistrzejowice,2026-08-05
ID4ulXT,771843,13.556536440449214,40.4,3.698829784967105,19105.02,1,2.0,7.0,False,0.0,Podgórze,2026-08-05
ID4Chzz,630000,13.353475098367715,48.0,3.871201010907891,13125.0,2,1.0,4.0,False,0.0,Podgórze Duchackie,2026-08-05
ID4xTvZ,389000,12.871334622600584,24.3,3.190476350346503,16008.23,1,3.0,4.0,False,0.0,Nowa Huta,2026-08-05
ID4Brij,749000,13.526494262499355,54.0,3.9889840465642745,13870.37,3,5.0,10.0,False,0.0,Prądnik Biały,2026-08-05
ID4CiYV,859000,13.663524200966393,82.58,4.413767520457944,10402.03,4,2.0,3.0,False,0.0,Podgórze,2026-08-05
